종목코드,종목명,업종,현재가,PER,PBR,ROE(%),PEG,배당률(%),시가총액(억),1개월_수익률(%),3개월_수익률(%),5개월_수익률(%)
122870,와이지엔터테인먼트,기타,43700.0,22.14,1.58,7.14,3.1,0.0,81.68,11.2,11.76,-19.37
032500,케이엠더블유,기타,19380.0,-28.84,6.04,0.0,0.0,0.0,81.77,33.29,7.25,-35.29
000670,영풍,기타,44050.0,-104.38,0.23,0.0,0.0,0.0,81.1,9.17,14.56,-32.95
388210,씨엠티엑스,기타,82400.0,-22.45,4.29,0.0,0.0,0.0,79.55,11.35,-7.83,-45.72
090710,휴림로봇,기타,6570.0,-44.39,6.15,0.0,0.0,0.0,78.55,0.0,-11.46,-49.92
328130,루닛,기타,10240.0,-13.47,4.66,0.0,0.0,0.0,76.25,11.55,3.64,-46.45
041830,인바디,기타,56900.0,25.11,2.39,9.52,2.64,0.0,76.71,-6.57,26.02,89.35
005090,SGC에너지,기타,54100.0,-12.7,1.11,0.0,0.0,0.0,77.95,-15.2,38.01,-13.02
053800,안랩,기타,68800.0,14.1,1.66,11.77,1.2,0.0,76.55,20.91,33.59,6.17
365550,ESR켄달스퀘어리츠,기타,3135.0,120.58,0.68,0.56,215.32,0.0,77.15,3.97,-8.45,-31.66
032190,다우데이타,기타,19970.0,3.5,0.47,13.43,0.26,0.0,76.49,-0.4,19.01,-18.32
100840,SNT에너지,기타,37050.0,9.08,2.01,22.14,0.41,0.0,76.62,32.09,40.34,-35.57
044490,태웅,기타,38300.0,31.04,1.27,4.09,7.59,0.0,76.63,24.35,45.35,-29.72
074600,원익QnC,기타,29150.0,34.05,1.57,4.61,7.39,0.0,76.63,8.36,-10.58,-24.48
033100,제룡전기,기타,47550.0,0.0,0.0,0.0,0.0,0.0,76.38,0.11,14.86,-22.05
036530,SNT홀딩스,기타,46300.0,5.81,0.5,8.61,0.67,0.0,75.49,1.98,-5.89,-25.92
161580,필옵틱스,기타,32900.0,-44.7,6.62,0.0,0.0,0.0,77.12,20.07,-5.19,-36.97
090360,로보스타,기타,78500.0,-147.28,8.82,0.0,0.0,0.0,76.54,-1.51,-5.08,10.56
499790,GS피앤엘,기타,38050.0,38.95,0.88,2.26,17.23,0.0,75.46,-3.91,12.91,-32.54
491000,리브스메드,기타,29900.0,-29.17,4.08,0.0,0.0,0.0,75.51,-14.08,-9.53,-55.96
085660,차바이오텍,기타,8020.0,-5.23,2.15,0.0,0.0,0.0,74.56,-4.18,-23.47,-54.89
005180,빙그레,기타,84400.0,14.66,1.0,6.82,2.15,0.0,74.62,-6.64,33.54,11.64
476830,알지노믹스,기타,26550.0,0.0,0.0,0.0,0.0,0.0,74.49,-16.9,-34.85,-73.02
137310,에스디바이오센서,기타,6110.0,-1.46,0.31,0.0,0.0,0.0,73.78,-2.24,0.33,-27.61
005690,파미셀,기타,12400.0,118.1,8.6,7.28,16.22,0.0,74.4,14.81,4.73,-34.5
251970,펌텍코리아,기타,59800.0,21.53,2.52,11.7,1.84,0.0,74.15,-5.08,83.72,35.14
295310,에이치브이엠,기타,60200.0,-76.88,10.84,0.0,0.0,0.0,74.68,27.81,17.35,-30.88
189300,인텔리안테크,기타,68700.0,98.85,2.63,2.66,37.16,0.0,73.77,5.05,-2.28,-51.28
213420,덕산네오룩스,기타,29650.0,13.84,1.61,11.63,1.19,0.0,73.62,-8.63,-2.31,-45.3
094800,맵스리얼티,기타,7850.0,0.0,0.0,0.0,0.0,0.0,72.87,8.73,38.94,0.38
041960,코미팜,기타,9800.0,-98.0,10.13,0.0,0.0,0.0,73.13,6.18,30.67,-2.39
214320,이노션,기타,18160.0,7.92,0.68,8.59,0.92,0.0,72.64,-3.71,1.62,-6.15
466100,클로봇,기타,23550.0,-270.69,9.75,0.0,0.0,0.0,72.9,-15.29,-13.21,-54.3
100090,SK오션플랜트,기타,11650.0,18.64,0.89,4.77,3.91,0.0,72.79,-12.93,-18.98,-50.64
038500,삼표시멘트,기타,6700.0,17.72,0.91,5.14,3.45,0.0,72.3,-11.84,-19.76,-58.79
298050,HS효성첨단소재,기타,162000.0,-33.54,0.9,0.0,0.0,0.0,72.58,-3.63,2.79,-32.22
425420,티에프이,기타,58700.0,37.29,6.24,16.73,2.23,0.0,72.48,31.32,40.94,-9.97
225570,넥슨게임즈,기타,10860.0,-11.57,2.68,0.0,0.0,0.0,71.52,1.31,37.29,-9.27
171090,선익시스템,기타,70200.0,6.94,4.31,62.1,0.11,0.0,71.1,8.33,28.1,-38.69
006730,서부T&D,기타,11080.0,9.19,0.66,7.18,1.28,0.0,71.22,3.17,21.76,-25.44
023160,태광,기타,27450.0,11.39,1.14,10.01,1.14,0.0,71.01,22.82,15.34,-41.09
003850,보령,기타,8280.0,11.07,0.83,7.5,1.48,0.0,71.03,-8.41,1.97,-17.03
122640,예스티,기타,32250.0,-1194.44,5.06,0.0,0.0,0.0,69.83,8.04,-2.27,10.07
124500,아이티센글로벌,기타,31150.0,15.5,5.76,37.16,0.42,0.0,72.28,-23.09,44.88,-42.31
281740,레이크머티리얼즈,기타,10780.0,92.14,5.26,5.71,16.14,0.0,70.86,-8.88,-20.38,-55.27
137400,피엔티,기타,29350.0,10.16,1.07,10.53,0.96,0.0,69.53,-0.51,-12.52,-49.74
048410,현대바이오,기타,7080.0,-30.13,6.14,0.0,0.0,0.0,68.33,8.09,-6.47,-54.0
476060,온코닉테라퓨틱스,기타,15020.0,-61.56,11.59,0.0,0.0,0.0,68.2,4.52,19.68,-34.41
064960,SNT모티브,기타,25700.0,9.8,0.6,6.12,1.6,0.0,68.21,-3.02,-0.96,-28.91
093320,케이아이엔엑스,기타,137900.0,39.36,3.27,8.31,4.74,0.0,67.3,-5.16,37.08,28.16
059090,미코,기타,20100.0,22.76,5.49,24.12,0.94,0.0,67.17,2.13,15.72,-3.6
456040,OCI,기타,74700.0,-10.68,0.59,0.0,0.0,0.0,66.88,-7.43,-8.68,-46.91
069260,TKG휴켐스,기타,16240.0,11.08,0.69,6.23,1.78,0.0,66.39,0.74,8.63,-11.59
293940,신한알파리츠,기타,5540.0,59.57,1.11,1.86,32.03,0.0,67.0,3.17,7.16,-10.65
002960,한국쉘석유,기타,506000.0,17.95,5.17,28.8,0.62,0.0,65.78,1.61,7.32,2.53
064290,인텍플러스,기타,50700.0,-197.28,13.47,0.0,0.0,0.0,65.69,41.62,19.15,62.76
090460,비에이치,기타,19420.0,21.43,0.84,3.92,5.47,0.0,65.47,18.2,-2.8,-46.13
005880,대한해운,기타,2035.0,3.64,0.3,8.24,0.44,0.0,65.68,-5.35,13.56,-23.93
036810,에프에스티,기타,30200.0,-54.32,2.58,0.0,0.0,0.0,65.38,10.62,24.54,-33.33
268280,미원에스씨,기타,133200.0,10.86,1.43,13.17,0.82,0.0,66.6,1.6,36.48,10.45
017940,E1,기타,93900.0,6.15,0.27,4.39,1.4,0.0,64.42,-0.53,23.23,-8.92
033790,피노,기타,7860.0,-63.9,3.19,0.0,0.0,0.0,65.49,29.06,23.58,-44.57
000400,롯데손해보험,기타,2060.0,0.0,0.0,0.0,0.0,0.0,63.93,1.48,19.14,-4.19
017900,광전자,기타,10980.0,150.41,2.3,1.53,98.31,0.0,63.62,43.72,71.56,-6.55
121600,나노신소재,기타,52000.0,388.06,2.5,0.64,606.34,0.0,63.76,7.88,12.8,-39.53
033640,네패스,기타,27700.0,38.53,5.17,13.42,2.87,0.0,63.87,31.59,11.24,-14.64
001060,JW중외제약,기타,27200.0,11.01,1.78,16.17,0.68,0.0,63.34,0.0,12.86,-15.53
001570,금양,기타,9900.0,-9.62,1.38,0.0,0.0,0.0,63.33,0.0,0.0,0.0
093050,LF,기타,21600.0,6.39,0.35,5.48,1.17,0.0,63.16,-7.89,4.35,-15.79
006650,대한유화,기타,97600.0,20.01,0.33,1.65,12.13,0.0,63.44,19.02,-11.11,-37.91
253450,스튜디오드래곤,기타,21000.0,61.22,0.79,1.29,47.46,0.0,63.12,-1.41,6.28,-40.68
000640,동아쏘시오홀딩스,기타,94000.0,6.96,0.55,7.9,0.88,0.0,63.29,2.4,24.01,-4.67
453340,현대그린푸드,기타,19210.0,7.29,0.86,11.8,0.62,0.0,62.38,3.28,17.56,18.07
317450,명인제약,기타,42200.0,6.29,0.78,12.4,0.51,0.0,61.61,-6.64,6.03,-25.57
